DATE,ConsumedQuantity
2020-10-08,119.98335
2020-10-09,128.350027
2020-10-10,119.800016
2020-10-11,116.93341
2020-10-12,119.86682
2020-10-13,119.916763
2020-10-14,119.966703
2020-10-15,119.93341
2020-10-16,122.216863
2020-10-17,111.550425
2020-10-18,118.916763
2020-10-19,119.933412
2020-10-20,119.850173
2020-10-21,116.650403
2020-10-22,119.983353
2020-10-23,120.0
2020-10-24,129.300186
2020-10-25,120.0
2020-10-26,120.0
2020-10-27,68.0
2020-10-28,60.916703
2020-10-29,124.800143
2020-10-30,132.83341
2020-10-31,132.16671000000002
2020-11-01,119.933412
2020-11-02,130.400048
2020-11-03,118.8336
2020-11-04,119.966706
2020-11-05,115.350047
2020-11-06,123.500049
2020-11-07,129.400226
2020-11-08,116.866822
2020-11-09,115.966706
2020-11-10,56.900113000000005
2020-11-11,85.966706
2020-11-12,119.966706
2020-11-13,126.900098
2020-11-14,128.550071
2020-11-15,119.86682
2020-11-16,120.0
2020-11-17,142.566678
2020-11-18,142.51667600000002
2020-11-19,177.150123
2020-11-20,210.75003500000005
2020-11-21,204.33342
2020-11-22,192.0
2020-11-23,191.916765
2020-11-24,192.0
2020-11-25,193.050181
2020-11-26,206.983693
2020-11-27,201.966706
2020-11-28,200.883351
2020-11-29,192.0
2020-11-30,191.933412
2020-12-01,198.616759
2020-12-02,203.216711
2020-12-03,191.383758
2020-12-04,211.400048
2020-12-05,200.850157
2020-12-06,190.983353
2020-12-07,186.916765
2020-12-08,187.467056
2020-12-09,201.533624
2020-12-10,201.633786
2020-12-11,214.300186
2020-12-12,201.800236
2020-12-13,191.933412
2020-12-14,191.933412
2020-12-15,199.283399
2020-12-16,202.050161
2020-12-17,191.816883
2020-12-18,213.16675
2020-12-19,202.383361
2020-12-20,191.900118
2020-12-21,190.983353
2020-12-22,201.716761
2020-12-23,200.200044
2020-12-24,201.766722
2020-12-25,201.6668
2020-12-26,202.450029
2020-12-27,191.950059
2020-12-28,203.0001
2020-12-29,191.916745
2020-12-30,191.950059
